Key,Summary,Issue Type,Priority,Status,Story Points,Component,Labels,Assignee,Reporter,Description,Steps,Expected Result,Test Type,Test Data
TC-135,Verify Cache - Upload Dropdown is less than with maximum characters,Test Case,High,To Do,1,Web App,"Cache,Smoke,Regression",Automation Team,QA Team,"Verify Cache - Upload Dropdown is less than with maximum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Upload Dropdown field
3. Fill in Dropdown with test data
4. Select Submit button
5. Verify is less than

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Upload Dropdown field
3. Fill in Dropdown with test data
4. Select Submit button
5. Verify is less than",Success message is displayed,Smoke,Null
TC-136,Verify Mobile View - Validate Country is disabled with maximum characters,Test Case,Medium,To Do,1,Web App,"Mobile View,Positive,Regression",Automation Team,QA Team,"Verify Mobile View - Validate Country is disabled with maximum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Validate Country field
3. Fill in Country with test data
4. Click Next button
5. Verify is disabled

**Expected Result:** Error message 'This field is required' is displayed","1. Navigate to app.vwo.com
2. Validate Country field
3. Fill in Country with test data
4. Click Next button
5. Verify is disabled",Error message 'This field is required' is displayed,Positive,Invalid
TC-137,Verify Authorization - Validate First Name is disabled with XSS,Test Case,Medium,To Do,2,Web App,"Authorization,Negative,Regression",Automation Team,QA Team,"Verify Authorization - Validate First Name is disabled with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Validate First Name field
3. Clear First Name with test data
4. Select Save button
5. Verify is disabled

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Validate First Name field
3. Clear First Name with test data
4. Select Save button
5. Verify is disabled",Validation error is shown,Negative,Valid
TC-138,Verify Loading States - Upload Confirm Password contains with browser back button,Test Case,Low,To Do,3,Web App,"Loading States,Use Case,Regression",Unassigned,QA Team,"Verify Loading States - Upload Confirm Password contains with browser back button

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Upload Confirm Password field
3. Fill in Confirm Password with test data
4. Submit Save button
5. Verify contains

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Upload Confirm Password field
3. Fill in Confirm Password with test data
4. Submit Save button
5. Verify contains",Data is saved successfully,Use Case,Null
TC-139,Verify Warning Messages - Drop Username contains with trailing spaces,Test Case,Medium,To Do,5,Web App,"Warning Messages,Security,Regression",Automation Team,QA Team,"Verify Warning Messages - Drop Username contains with trailing spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Drop Username field
3. Leave Username with test data
4. Select Register button
5. Verify contains

**Expected Result:** Username contains","1. Navigate to app.vwo.com
2. Drop Username field
3. Leave Username with test data
4. Select Register button
5. Verify contains",Username contains,Security,Null
TC-140,Verify Authorization - Enter State is expanded with invalid data,Test Case,Low,To Do,2,Web App,"Authorization,Positive,Regression",Unassigned,QA Team,"Verify Authorization - Enter State is expanded with invalid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Enter State field
3. Leave State with test data
4. Select Cancel button
5. Verify is expanded

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Enter State field
3. Leave State with test data
4. Select Cancel button
5. Verify is expanded",Data is saved successfully,Positive,Boundary
TC-141,Verify Input Fields - Refresh Date of Birth is greater than with valid data,Test Case,Low,To Do,8,Web App,"Input Fields,Use Case,Regression",Automation Team,QA Team,"Verify Input Fields - Refresh Date of Birth is greater than with valid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Refresh Date of Birth field
3. Leave Date of Birth with test data
4. Click Submit button
5. Verify is greater than

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Refresh Date of Birth field
3. Leave Date of Birth with test data
4. Click Submit button
5. Verify is greater than",Validation error is shown,Use Case,Null
TC-142,Verify Session Management - Edit Captcha matches with special characters,Test Case,Low,To Do,7,Web App,"Session Management,Use Case,Regression",Unassigned,QA Team,"Verify Session Management - Edit Captcha matches with special characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Edit Captcha field
3. Clear Captcha with test data
4. Click Cancel button
5. Verify matches

**Expected Result:** Error message 'Invalid URL' is displayed","1. Navigate to app.vwo.com
2. Edit Captcha field
3. Clear Captcha with test data
4. Click Cancel button
5. Verify matches",Error message 'Invalid URL' is displayed,Use Case,Invalid
TC-143,Verify Page Load Time - Edit Checkbox matches with XSS,Test Case,Medium,To Do,7,Web App,"Page Load Time,Regression,Regression",Unassigned,QA Team,"Verify Page Load Time - Edit Checkbox matches with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Edit Checkbox field
3. Fill in Checkbox with test data
4. Select Submit button
5. Verify matches

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Edit Checkbox field
3. Fill in Checkbox with test data
4. Select Submit button
5. Verify matches",Validation error is shown,Regression,Boundary
TC-144,Verify Local Storage - Navigate Dropdown is unchecked with trailing spaces,Test Case,Medium,To Do,2,Web App,"Local Storage,Functional,Regression",Automation Team,QA Team,"Verify Local Storage - Navigate Dropdown is unchecked with trailing spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Navigate Dropdown field
3. Fill in Dropdown with test data
4. Submit Register button
5. Verify is unchecked

**Expected Result:** Error message 'Page not found' is displayed","1. Navigate to app.vwo.com
2. Navigate Dropdown field
3. Fill in Dropdown with test data
4. Submit Register button
5. Verify is unchecked",Error message 'Page not found' is displayed,Functional,Valid
TC-145,Verify Form Validation - Edit Captcha is unchecked with SQL injection,Test Case,Low,To Do,1,Web App,"Form Validation,Decision Table,Regression",QA Team,QA Team,"Verify Form Validation - Edit Captcha is unchecked with SQL injection

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Edit Captcha field
3. Leave Captcha with test data
4. Submit Next button
5. Verify is unchecked

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Edit Captcha field
3. Leave Captcha with test data
4. Submit Next button
5. Verify is unchecked",Data is saved successfully,Decision Table,Boundary
TC-146,Verify Session Management - Drag Text Area is less than with concurrent requests,Test Case,Medium,To Do,5,Web App,"Session Management,Use Case,Regression",Automation Team,QA Team,"Verify Session Management - Drag Text Area is less than with concurrent requests

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Drag Text Area field
3. Clear Text Area with test data
4. Select Next button
5. Verify is less than

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Drag Text Area field
3. Clear Text Area with test data
4. Select Next button
5. Verify is less than",Validation error is shown,Use Case,Null
TC-147,Verify Timeouts - Focus Radio Button equals with multiple tabs,Test Case,High,To Do,5,Web App,"Timeouts,Smoke,Regression",QA Team,QA Team,"Verify Timeouts - Focus Radio Button equals with multiple tabs

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Focus Radio Button field
3. Leave Radio Button with test data
4. Submit Save button
5. Verify equals

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Focus Radio Button field
3. Leave Radio Button with test data
4. Submit Save button
5. Verify equals",Validation error is shown,Smoke,Invalid
TC-148,Verify Dashboard - Maximize Confirm Password is invalid with empty data,Test Case,Low,To Do,4,Web App,"Dashboard,Regression,Regression",Unassigned,QA Team,"Verify Dashboard - Maximize Confirm Password is invalid with empty data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Maximize Confirm Password field
3. Clear Confirm Password with test data
4. Submit Save button
5. Verify is invalid

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Maximize Confirm Password field
3. Clear Confirm Password with test data
4. Submit Save button
5. Verify is invalid",Data is saved successfully,Regression,Null
TC-149,Verify Dashboard - Download Search Box is checked with minimum characters,Test Case,High,To Do,8,Web App,"Dashboard,Compatibility,Regression",Unassigned,QA Team,"Verify Dashboard - Download Search Box is checked with minimum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Download Search Box field
3. Leave Search Box with test data
4. Submit Save button
5. Verify is checked

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Download Search Box field
3. Leave Search Box with test data
4. Submit Save button
5. Verify is checked",Data is saved successfully,Compatibility,Boundary
TC-150,Verify Error Messages - Select Search Box is outside range with maximum characters,Test Case,Low,To Do,1,Web App,"Error Messages,Equivalence Partitioning,Regression",QA Team,QA Team,"Verify Error Messages - Select Search Box is outside range with maximum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Select Search Box field
3. Fill in Search Box with test data
4. Submit Next button
5. Verify is outside range

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Select Search Box field
3. Fill in Search Box with test data
4. Submit Next button
5. Verify is outside range",Validation error is shown,Equivalence Partitioning,Null
TC-151,Verify Firefox - Clear State does not contain with XSS,Test Case,Low,To Do,3,Web App,"Firefox,Smoke,Regression",Unassigned,QA Team,"Verify Firefox - Clear State does not contain with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear State field
3. Leave State with test data
4. Select Next button
5. Verify does not contain

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Clear State field
3. Leave State with test data
4. Select Next button
5. Verify does not contain",Data is saved successfully,Smoke,Null
TC-152,Verify Password Reset - Navigate Phone Number is displayed with slow connection,Test Case,Low,To Do,3,Web App,"Password Reset,Smoke,Regression",QA Team,QA Team,"Verify Password Reset - Navigate Phone Number is displayed with slow connection

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Navigate Phone Number field
3. Fill in Phone Number with test data
4. Click Submit button
5. Verify is displayed

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Navigate Phone Number field
3. Fill in Phone Number with test data
4. Click Submit button
5. Verify is displayed",Data is saved successfully,Smoke,Invalid
TC-153,Verify Warning Messages - Minimize Captcha matches with browser back button,Test Case,High,To Do,1,Web App,"Warning Messages,Boundary,Regression",Unassigned,QA Team,"Verify Warning Messages - Minimize Captcha matches with browser back button

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Minimize Captcha field
3. Leave Captcha with test data
4. Click Cancel button
5. Verify matches

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Minimize Captcha field
3. Leave Captcha with test data
4. Click Cancel button
5. Verify matches",Success message is displayed,Boundary,Valid
TC-154,Verify Cookies - Upload Verification Code is expanded with trailing spaces,Test Case,Medium,To Do,1,Web App,"Cookies,Decision Table,Regression",Automation Team,QA Team,"Verify Cookies - Upload Verification Code is expanded with trailing spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Upload Verification Code field
3. Fill in Verification Code with test data
4. Submit Save button
5. Verify is expanded

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Upload Verification Code field
3. Fill in Verification Code with test data
4. Submit Save button
5. Verify is expanded",Validation error is shown,Decision Table,Boundary
TC-155,Verify Password Reset - Enter Email is selected with trailing spaces,Test Case,Low,To Do,2,Web App,"Password Reset,Functional,Regression",Unassigned,QA Team,"Verify Password Reset - Enter Email is selected with trailing spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Enter Email field
3. Leave Email with test data
4. Click Submit button
5. Verify is selected

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Enter Email field
3. Leave Email with test data
4. Click Submit button
5. Verify is selected",User is redirected to dashboard,Functional,Null
TC-156,Verify Loading States - Validate Radio Button is outside range with expired session,Test Case,High,To Do,3,Web App,"Loading States,Compatibility,Regression",Automation Team,QA Team,"Verify Loading States - Validate Radio Button is outside range with expired session

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Validate Radio Button field
3. Clear Radio Button with test data
4. Select Save button
5. Verify is outside range

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Validate Radio Button field
3. Clear Radio Button with test data
4. Select Save button
5. Verify is outside range",Data is saved successfully,Compatibility,Boundary
TC-157,Verify API Response Time - Clear File Upload equals with leading spaces,Test Case,Medium,To Do,8,Web App,"API Response Time,Compatibility,Regression",QA Team,QA Team,"Verify API Response Time - Clear File Upload equals with leading spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear File Upload field
3. Clear File Upload with test data
4. Click Save button
5. Verify equals

**Expected Result:** File Upload equals","1. Navigate to app.vwo.com
2. Clear File Upload field
3. Clear File Upload with test data
4. Click Save button
5. Verify equals",File Upload equals,Compatibility,Valid
TC-158,Verify Success Messages - Download Address is not selected with maximum characters,Test Case,High,To Do,7,Web App,"Success Messages,Exploratory,Regression",Automation Team,QA Team,"Verify Success Messages - Download Address is not selected with maximum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Download Address field
3. Fill in Address with test data
4. Click Next button
5. Verify is not selected

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Download Address field
3. Fill in Address with test data
4. Click Next button
5. Verify is not selected",Success message is displayed,Exploratory,Null
TC-159,Verify Performance - Upload Dropdown matches with page refresh,Test Case,Medium,To Do,3,Web App,"Performance,Functional,Regression",Automation Team,QA Team,"Verify Performance - Upload Dropdown matches with page refresh

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Upload Dropdown field
3. Clear Dropdown with test data
4. Submit Submit button
5. Verify matches

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Upload Dropdown field
3. Clear Dropdown with test data
4. Submit Submit button
5. Verify matches",Success message is displayed,Functional,Null
TC-160,Verify API Response Time - Minimize Answer is less than with maximum characters,Test Case,Medium,To Do,2,Web App,"API Response Time,Positive,Regression",QA Team,QA Team,"Verify API Response Time - Minimize Answer is less than with maximum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Minimize Answer field
3. Clear Answer with test data
4. Click Submit button
5. Verify is less than

**Expected Result:** Error message 'Permission denied' is displayed","1. Navigate to app.vwo.com
2. Minimize Answer field
3. Clear Answer with test data
4. Click Submit button
5. Verify is less than",Error message 'Permission denied' is displayed,Positive,Null
TC-161,Verify Timeouts - Enter Security Question is required with minimum characters,Test Case,High,To Do,2,Web App,"Timeouts,Use Case,Regression",Automation Team,QA Team,"Verify Timeouts - Enter Security Question is required with minimum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Enter Security Question field
3. Fill in Security Question with test data
4. Select Cancel button
5. Verify is required

**Expected Result:** Security Question is required","1. Navigate to app.vwo.com
2. Enter Security Question field
3. Fill in Security Question with test data
4. Select Cancel button
5. Verify is required",Security Question is required,Use Case,Boundary
TC-162,Verify Local Storage - Hover Confirm Password is expanded with concurrent requests,Test Case,High,To Do,3,Web App,"Local Storage,Regression,Regression",Automation Team,QA Team,"Verify Local Storage - Hover Confirm Password is expanded with concurrent requests

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Hover Confirm Password field
3. Leave Confirm Password with test data
4. Submit Next button
5. Verify is expanded

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Hover Confirm Password field
3. Leave Confirm Password with test data
4. Submit Next button
5. Verify is expanded",Data is saved successfully,Regression,Null
TC-163,Verify Access Control - Minimize Security Question equals with page refresh,Test Case,Medium,To Do,1,Web App,"Access Control,Exploratory,Regression",Automation Team,QA Team,"Verify Access Control - Minimize Security Question equals with page refresh

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Minimize Security Question field
3. Clear Security Question with test data
4. Click Register button
5. Verify equals

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Minimize Security Question field
3. Clear Security Question with test data
4. Click Register button
5. Verify equals",User is redirected to dashboard,Exploratory,Boundary
TC-164,Verify Local Storage - Enter First Name is expanded with page refresh,Test Case,Medium,To Do,5,Web App,"Local Storage,Compatibility,Regression",Automation Team,QA Team,"Verify Local Storage - Enter First Name is expanded with page refresh

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Enter First Name field
3. Leave First Name with test data
4. Click Register button
5. Verify is expanded

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Enter First Name field
3. Leave First Name with test data
4. Click Register button
5. Verify is expanded",Success message is displayed,Compatibility,Invalid
TC-165,Verify Page Load Time - Maximize Company Name is within range with special characters,Test Case,High,To Do,5,Web App,"Page Load Time,Smoke,Regression",Automation Team,QA Team,"Verify Page Load Time - Maximize Company Name is within range with special characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Maximize Company Name field
3. Leave Company Name with test data
4. Click Login button
5. Verify is within range

**Expected Result:** Error message 'Permission denied' is displayed","1. Navigate to app.vwo.com
2. Maximize Company Name field
3. Leave Company Name with test data
4. Click Login button
5. Verify is within range",Error message 'Permission denied' is displayed,Smoke,Boundary
TC-166,Verify Email Verification - Drag Password is valid with concurrent requests,Test Case,High,To Do,5,Web App,"Email Verification,State Transition,Regression",Automation Team,QA Team,"Verify Email Verification - Drag Password is valid with concurrent requests

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Drag Password field
3. Fill in Password with test data
4. Select Login button
5. Verify is valid

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Drag Password field
3. Fill in Password with test data
4. Select Login button
5. Verify is valid",User is redirected to dashboard,State Transition,Invalid
TC-167,Verify Mobile View - Close Username is required with empty data,Test Case,Medium,To Do,6,Web App,"Mobile View,Functional,Regression",QA Team,QA Team,"Verify Mobile View - Close Username is required with empty data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Close Username field
3. Leave Username with test data
4. Submit Register button
5. Verify is required

**Expected Result:** Error message 'Access denied' is displayed","1. Navigate to app.vwo.com
2. Close Username field
3. Leave Username with test data
4. Submit Register button
5. Verify is required",Error message 'Access denied' is displayed,Functional,Invalid
TC-168,Verify API Response Time - Focus First Name matches with special characters,Test Case,Low,To Do,6,Web App,"API Response Time,UI,Regression",Unassigned,QA Team,"Verify API Response Time - Focus First Name matches with special characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Focus First Name field
3. Clear First Name with test data
4. Submit Cancel button
5. Verify matches

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Focus First Name field
3. Clear First Name with test data
4. Submit Cancel button
5. Verify matches",Success message is displayed,UI,Null
TC-169,Verify Network Requests - Navigate First Name is valid with XSS,Test Case,Medium,To Do,3,Web App,"Network Requests,Decision Table,Regression",Unassigned,QA Team,"Verify Network Requests - Navigate First Name is valid with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Navigate First Name field
3. Clear First Name with test data
4. Select Register button
5. Verify is valid

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Navigate First Name field
3. Clear First Name with test data
4. Select Register button
5. Verify is valid",Data is saved successfully,Decision Table,Boundary
TC-170,Verify Cross-Browser - Clear Security Question is not selected with XSS,Test Case,High,To Do,8,Web App,"Cross-Browser,Compatibility,Regression",QA Team,QA Team,"Verify Cross-Browser - Clear Security Question is not selected with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear Security Question field
3. Clear Security Question with test data
4. Click Register button
5. Verify is not selected

**Expected Result:** Error message 'Passwords do not match' is displayed","1. Navigate to app.vwo.com
2. Clear Security Question field
3. Clear Security Question with test data
4. Click Register button
5. Verify is not selected",Error message 'Passwords do not match' is displayed,Compatibility,Boundary
TC-171,Verify Responsive Design - Clear Address is checked with valid data,Test Case,High,To Do,8,Web App,"Responsive Design,Smoke,Regression",Automation Team,QA Team,"Verify Responsive Design - Clear Address is checked with valid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear Address field
3. Clear Address with test data
4. Submit Next button
5. Verify is checked

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Clear Address field
3. Clear Address with test data
4. Submit Next button
5. Verify is checked",User is redirected to dashboard,Smoke,Null
TC-172,Verify Chrome - Drop Verification Code is optional with leading spaces,Test Case,High,To Do,8,Web App,"Chrome,Compatibility,Regression",Unassigned,QA Team,"Verify Chrome - Drop Verification Code is optional with leading spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Drop Verification Code field
3. Fill in Verification Code with test data
4. Click Submit button
5. Verify is optional

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Drop Verification Code field
3. Fill in Verification Code with test data
4. Click Submit button
5. Verify is optional",Success message is displayed,Compatibility,Invalid
TC-173,Verify Authorization - Scroll Captcha is hidden with browser back button,Test Case,High,To Do,6,Web App,"Authorization,Regression,Regression",Unassigned,QA Team,"Verify Authorization - Scroll Captcha is hidden with browser back button

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Scroll Captcha field
3. Fill in Captcha with test data
4. Click Save button
5. Verify is hidden

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Scroll Captcha field
3. Fill in Captcha with test data
4. Click Save button
5. Verify is hidden",Validation error is shown,Regression,Valid
TC-174,Verify Accessibility - Upload Checkbox is visible with minimum characters,Test Case,Low,To Do,6,Web App,"Accessibility,Positive,Regression",Unassigned,QA Team,"Verify Accessibility - Upload Checkbox is visible with minimum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Upload Checkbox field
3. Leave Checkbox with test data
4. Submit Register button
5. Verify is visible

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Upload Checkbox field
3. Leave Checkbox with test data
4. Submit Register button
5. Verify is visible",Data is saved successfully,Positive,Valid
TC-175,Verify API Integration - Click Radio Button is less than with special characters,Test Case,Medium,To Do,2,Web App,"API Integration,UI,Regression",Unassigned,QA Team,"Verify API Integration - Click Radio Button is less than with special characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Click Radio Button field
3. Clear Radio Button with test data
4. Submit Register button
5. Verify is less than

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Click Radio Button field
3. Clear Radio Button with test data
4. Submit Register button
5. Verify is less than",Data is saved successfully,UI,Valid
TC-176,Verify Desktop View - Clear State is selected with trailing spaces,Test Case,High,To Do,3,Web App,"Desktop View,Security,Regression",Automation Team,QA Team,"Verify Desktop View - Clear State is selected with trailing spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear State field
3. Leave State with test data
4. Click Login button
5. Verify is selected

**Expected Result:** Error message 'Try again later' is displayed","1. Navigate to app.vwo.com
2. Clear State field
3. Leave State with test data
4. Click Login button
5. Verify is selected",Error message 'Try again later' is displayed,Security,Valid
TC-177,Verify Email Verification - Hover OTP is collapsed with maximum characters,Test Case,Medium,To Do,4,Web App,"Email Verification,Positive,Regression",QA Team,QA Team,"Verify Email Verification - Hover OTP is collapsed with maximum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Hover OTP field
3. Clear OTP with test data
4. Click Cancel button
5. Verify is collapsed

**Expected Result:** Error message 'This field is required' is displayed","1. Navigate to app.vwo.com
2. Hover OTP field
3. Clear OTP with test data
4. Click Cancel button
5. Verify is collapsed",Error message 'This field is required' is displayed,Positive,Valid
TC-178,Verify ARIA Labels - Navigate City is disabled with empty data,Test Case,Low,To Do,3,Web App,"ARIA Labels,Usability,Regression",Automation Team,QA Team,"Verify ARIA Labels - Navigate City is disabled with empty data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Navigate City field
3. Clear City with test data
4. Select Next button
5. Verify is disabled

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Navigate City field
3. Clear City with test data
4. Select Next button
5. Verify is disabled",Success message is displayed,Usability,Boundary
TC-179,Verify Links - Select OTP is enabled with invalid data,Test Case,Low,To Do,2,Web App,"Links,Functional,Regression",Automation Team,QA Team,"Verify Links - Select OTP is enabled with invalid data

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Select OTP field
3. Clear OTP with test data
4. Select Save button
5. Verify is enabled

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Select OTP field
3. Clear OTP with test data
4. Select Save button
5. Verify is enabled",Success message is displayed,Functional,Valid
TC-180,Verify Forgot Password - Validate Password is visible with page refresh,Test Case,Low,To Do,1,Web App,"Forgot Password,State Transition,Regression",Automation Team,QA Team,"Verify Forgot Password - Validate Password is visible with page refresh

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Validate Password field
3. Leave Password with test data
4. Select Next button
5. Verify is visible

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Validate Password field
3. Leave Password with test data
4. Select Next button
5. Verify is visible",User is redirected to dashboard,State Transition,Null
TC-181,Verify Page Load Time - Maximize Phone Number is valid with browser back button,Test Case,Low,To Do,7,Web App,"Page Load Time,Decision Table,Regression",Unassigned,QA Team,"Verify Page Load Time - Maximize Phone Number is valid with browser back button

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Maximize Phone Number field
3. Clear Phone Number with test data
4. Click Save button
5. Verify is valid

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Maximize Phone Number field
3. Clear Phone Number with test data
4. Click Save button
5. Verify is valid",Data is saved successfully,Decision Table,Boundary
TC-182,Verify API Integration - Clear Email equals with browser back button,Test Case,Medium,To Do,5,Web App,"API Integration,Regression,Regression",Automation Team,QA Team,"Verify API Integration - Clear Email equals with browser back button

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear Email field
3. Clear Email with test data
4. Click Cancel button
5. Verify equals

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Clear Email field
3. Clear Email with test data
4. Click Cancel button
5. Verify equals",Validation error is shown,Regression,Null
TC-183,Verify Memory Usage - Refresh File Upload matches with special characters,Test Case,Low,To Do,2,Web App,"Memory Usage,Security,Regression",Automation Team,QA Team,"Verify Memory Usage - Refresh File Upload matches with special characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Refresh File Upload field
3. Fill in File Upload with test data
4. Select Save button
5. Verify matches

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Refresh File Upload field
3. Fill in File Upload with test data
4. Select Save button
5. Verify matches",User is redirected to dashboard,Security,Valid
